Product,Status,Current plan,Action
Icy Peaks Mini Conditioner,ACTIVE,none,Add to 15%
test product OOS at specific channels,ACTIVE,10%,Skip (test product)
Ancient Tearoom Bi Phase Make Up Remover,ACTIVE,15%,OK (already 15%)
Clear Skies Shampoo Bar,ACTIVE,15%,OK (already 15%)
Coffee Spot Shampoo Bar,ACTIVE,15%,OK (already 15%)
Citrus Circus Shampoo Bar,ACTIVE,15%,OK (already 15%)
Coconut Beach Shampoo Bar,ACTIVE,15%,OK (already 15%)
Icy Peaks Shampoo Bar,ACTIVE,15%,OK (already 15%)
Woodland Retreat Shampoo Bar,ACTIVE,15%,OK (already 15%)
Java Jungle Shampoo Bar,ACTIVE,15%,OK (already 15%)
Wild Flowers Shampoo Bar,ACTIVE,15%,OK (already 15%)
Icy Peaks Cooling Deodorant Spray,ACTIVE,15%,OK (already 15%)
Custom Conditioner,ACTIVE,15%,OK (already 15%)
Wild Flowers Deodorant Spray,ACTIVE,15%,OK (already 15%)
Moon Bloom Hand & Body Wash,ACTIVE,15%,OK (already 15%)
Woodland Retreat Hand & Body Wash,ACTIVE,15%,OK (already 15%)
Hotel Lobby Deodorant Spray,ACTIVE,15%,OK (already 15%)
Bath House Deodorant Spray,ACTIVE,15%,OK (already 15%)
Coconut Beach Deodorant Spray,ACTIVE,15%,OK (already 15%)
Moon Bloom Deodorant Spray,ACTIVE,15%,OK (already 15%)
